Content,RT,R1P,LR,EQE,PR,VR,DR,SSR,TR,NRCA,CR,UR,UV,CE,Label
充电器很有重量，质量很好，能用很长时间。,1,0,20,0,0,0,-1,0,0,0,0,156,1,0.989507606,0
喝多了挂耳打算尝试一下速溶，里面除了G7基本没喝过，试一下吧??,1,0,32,2,1,0,-1,0,0,0,3,836,0,0.050539592,0
整体评价：衣服挺大的，我买的xl穿着宽松，舒服！我的皮肤偏黑所以买的灰色，挺好看的。穿起来感觉比我之前的暖和，也不知道为什么上身效果：穿起来特别的帅气尺码推荐：平时穿多大就买多大，想宽松就大一码厚薄度：单层的毛线，质量还可以,1,3,112,1,1,0,-1,0,0,0,1,17,1,0.999826625,0
质量优良（满意），送货上门及时&hellip;,1,0,23,0,0,0,-1,0,0,0,0,7,1,0.972860263,0
发货快这个牌子的巧克力我一直都有回购有5种口味不会说甜到腻,1,1,29,0,0,0,-1,0,0,0,3,54,1,0.924183126,0
好看哦太喜欢了更喜欢这个很值呢,1,0,15,0,0,1,-1,0,0,0,6,311,1,0.946058468,0
第二次购买了，蛮划算的，希望跟上次一样好吃。,1,0,22,0,1,0,-1,0,0,0,3,524,0,0.911206843,0
一分钱一分货，以后要注意！,0,0,13,1,1,0,-1,0,0,0,3,736,0,0.0848016,0
包包很好看，很有质感,1,0,10,0,1,0,-1,0,0,1,6,40,1,0.952532739,0
版型很好，保暖还不臃肿,1,0,11,0,0,0,-1,0,0,0,1,179,1,0.832361504,0
perfect,1,0,7,0,0,0,-1,0,0,0,1,109,1,0.428571429,0
款式很喜欢，重点是衣服质量，做工都很好，上身效果高档上档次，上身保暖舒适，款式非常满意,1,0,43,0,0,0,-1,0,0,0,1,173,1,0.999996179,0
充电器质量非常好，充电速度快，好用。,1,0,18,0,0,0,-1,0,0,0,0,547,1,0.97819165,0
版型很好同事要了链接果断拍了,1,0,14,0,0,0,-1,0,0,0,1,46,1,0.476953978,0
品质做工：很好很好很好，这种布料还不容易脏,1,0,21,0,1,0,-1,0,0,0,6,34,1,0.901083229,0
好绝我的天穿上就是辣妹本妹,1,1,13,0,0,0,-1,0,0,0,1,221,1,0.281300733,0
超好看，衣服质量非常好，身高174体重128穿xxl正好，肥肥的感觉，超级爱！,1,0,39,1,1,0,-1,0,0,1,1,269,1,0.56964844,0
特别好，喜欢,1,0,6,0,0,0,-1,0,0,0,1,396,1,0.847063605,0
质量还是不错的,1,0,7,0,0,0,-1,0,0,0,0,748,0,0.871049023,0
衣服挺暖和不错,1,0,7,0,1,0,-1,0,0,1,1,24,1,0.862770245,0
货收到，安装方便，充电操作简单充电稳定，好评,1,0,22,0,0,0,-1,0,0,0,0,96,1,0.068487498,0
包包很不错，背就来很nice，喜欢。,1,0,18,0,1,0,-1,0,1,0,6,369,0,0.805162775,0
我穿着薄厚适中很保暖这种款式的穿着显得正式和板正性价比很高了这样的质量和设计在商场的话估计要一千多吧,1,1,50,0,0,0,-1,0,0,0,1,155,1,0.999729534,0
收到发现数据线不能用，卖家很快补发了，香薰机外观小巧精致，我超喜欢。,1,1,34,0,0,0,-1,0,0,1,0,876,0,0.999463134,0
质量很好，款式也很漂亮，大小可以。,1,0,17,0,1,0,0,0,0,1,6,71,1,0.98714915,0
很好，发货速度也很快，收到第一时间就装上去试了试，电力还行，价格便宜，能买到这样的已经很好了，后续再追加评论,1,0,54,0,0,0,-1,0,0,0,0,138,0,0.998958539,0
此用户没有填写评价。,1,0,10,0,1,0,3,0,0,0,6,86,1,0.145428,0
发货很快，收到后立马就试用了，充电速度很快，客服也非常好。,1,0,29,0,1,0,-1,0,0,0,0,28,1,0.35650066,0
非常棒，产品棒，服务更棒！,1,0,13,1,0,0,-1,0,0,0,0,182,1,0.99657425,0
很好看，和图片一样,1,0,9,0,0,0,-1,0,0,1,1,139,1,0.851685937,0
不错，挺好用的,1,0,7,0,1,0,0,0,0,0,0,143,1,0.964252713,0
安装很简单，实用性真的很强，用起来也方便，再不用为充电而苦恼了！！,1,0,33,2,0,0,-1,0,0,0,0,291,1,0.508128553,0
充电器很好，充电也蛮快的,1,0,12,0,0,1,-1,0,0,0,0,171,1,0.88594433,0
细节做的不好,0,0,6,0,0,0,-1,0,0,0,0,376,0,0.645347171,0
钢化膜不错,1,0,5,0,0,0,-1,0,0,0,0,66,1,0.751106562,0
外观看着真心不错，钢质挺亮，推荐给大家,1,0,19,0,0,0,-1,0,0,0,0,390,1,0.972802708,0
面料材质：裙子穿着很舒服，质量挺好的，很合身,1,0,22,0,1,0,-1,0,0,0,1,30,1,0.989963793,0
好看而且特能装很满意,1,0,10,0,1,0,-1,0,0,1,6,248,1,0.860497676,0
很商务穿上显的很精神，轻薄又保暖，推荐购买,1,0,21,0,0,0,-1,0,0,0,1,120,0,0.999260067,0
质量不错，一分钱一分货，上身效果杠杠的。,1,0,20,0,0,0,-1,0,1,0,1,683,1,0.632444997,0
整体评价：毛衣都挺好的，款式挺好看的,1,0,18,0,0,0,-1,0,0,0,1,387,0,0.972662297,0
不错喔超级喜欢那个鹅鹅鹅鹅鹅书包也很好,1,0,19,0,1,0,-1,0,0,0,6,75,1,0.794409211,0
太好吃了，像寻宝一样，好吃，多样，上瘾！,1,0,20,1,0,0,-1,0,0,0,3,503,0,0.885030868,0
挺好吃的，里面还有个袋子装着,1,0,14,0,1,0,-1,0,0,0,3,37,1,0.601700326,0
超级好看！还软软的,1,0,9,1,0,0,-1,0,0,1,1,110,1,0.765413386,0
发货很快，质量很好，充电快，匹配不跳屏，不错,1,0,22,0,0,0,-1,0,0,0,0,672,1,0.929429486,0
商品质量很好，款式做工精细，尺码标准,1,0,18,0,0,0,0,0,1,0,1,988,1,0.991736444,0
黄桃好吃,1,0,4,0,0,0,-1,0,0,0,3,62,1,0.547301123,0
羽绒服质量挺好的，款式大方，穿起来很帅气，弟弟很喜欢,1,0,26,0,0,0,-1,0,0,1,1,154,1,0.998671313,0
物有所值，超级实用，老板服务态度很好，快递也块,1,0,23,0,1,0,-1,0,0,0,6,289,0,0.763815722,0
衣服穿起来很帅气，早上穿很合适,1,0,15,0,0,0,-1,0,0,0,1,355,1,0.85243193,0
更喜欢黑色的超好吃有夹心,1,0,12,0,0,0,-1,0,0,0,3,245,1,0.800579067,0
包装一般，罐头盒子很旧的感觉,0,0,14,0,0,0,-1,0,0,1,3,776,1,0.156652632,0
挺薄的，不过穿起来还可以,1,0,12,0,0,0,-1,0,0,0,1,272,1,0.504852239,0
好大一瓶的啊价格实惠味道不错喜欢,1,0,16,0,0,0,-1,0,1,1,3,33,1,0.982079846,0
真不错，挺好的,1,0,7,0,0,0,-1,0,0,0,0,238,1,0.964839621,0
没穿两次就起球！！！,1,0,10,3,0,0,-1,0,0,0,1,552,0,0.054628552,0
12个罐头10个奇形怪状，这物流真够粗暴滴,1,0,21,0,0,0,-1,0,0,1,3,840,0,0.000626463,0
很不错，原来四十袋有这么多，没有重复，开心，很期待明天早上喝咖啡，考研冲冲冲！,1,0,39,1,1,0,-1,0,0,0,3,456,1,0.97967801,0
可以可以，，质量不错，客服也很好有问题会想办法及时解决，,1,0,28,0,1,0,-1,0,0,0,6,47,1,0.154357717,0
送给朋友的，颜值是很不错，满意！,1,0,16,1,1,0,-1,0,0,0,3,43,1,0.982102437,0
闺蜜说好吃的，买来试试，还不错！这个盒子好好看啊哈哈哈哈哈舍不得拆的感觉,1,0,36,1,1,0,-1,0,0,0,3,509,0,0.999208941,0
用着非常好，这样兜里不用装那么多的东西了,1,0,20,0,1,0,-1,0,0,0,6,125,1,0.617927994,0
东西收到了，物流很快，质量特别好，非常满意。,1,0,22,0,0,0,-1,0,0,0,0,82,1,0.948619476,0
整体评价：颜值可打，衣服面料也非常好，很柔软双十一购买的两天就到了，发货速度很快,1,0,40,0,0,0,-1,0,0,0,1,89,1,0.988758803,0
还不错，很宽松的款,1,0,9,0,0,0,-1,0,0,0,1,850,0,0.951117512,0
衣服收到了，质量不错，物流也快。,1,0,16,0,0,0,-1,0,0,0,1,66,1,0.886862217,0
挺好穿的，上身效果很好，薄薄的但是很暖和,1,0,20,0,0,0,-1,0,0,0,1,145,1,0.999275128,0
挺好用的，放在店里，别人充电可以挣个钱，自己充电也方便！,1,0,28,1,0,0,-1,0,0,0,0,268,1,0.242868011,0
此用户没有填写评价。,1,0,10,0,1,0,16,0,0,0,6,433,1,0.145428,0
能用，不错,1,0,5,0,0,0,-1,0,0,0,0,620,1,0.861213235,0
产品很好，快递及时,1,0,9,0,0,0,-1,0,0,0,0,101,1,0.504493853,0
款式新颖时尚，做工细节无可挑剔，物超所值非常满意,1,0,24,0,0,0,-1,0,0,0,1,43,1,0.999970135,0
充电器收到了，用这可以，昨天充电充满自停，很方便，不用担心充坏电瓶,1,0,33,0,1,0,-1,0,0,0,0,23,1,0.92072502,0
第二次购买了1，值得信赖,1,0,12,0,0,0,-1,0,0,0,0,316,0,0.960282054,0
此用户没有填写评价。,1,0,10,0,0,1,41,0,1,1,0,844,1,0.145428,0
一机两用好好好??,1,0,9,2,1,0,-1,0,0,0,0,576,0,0.58089257,0
详图100%真买它绝对值了,1,0,13,0,1,0,-1,0,0,0,0,181,1,0.149330798,0
书包很好看，很喜欢哦,1,0,10,0,1,0,-1,0,0,0,6,231,1,0.992244052,0
充电速度快，好用，不错,1,0,11,0,0,0,-1,0,0,0,0,947,0,0.971136328,0
好用，价格便宜实惠,1,0,9,0,0,0,-1,0,0,0,0,169,1,0.964276275,0
西装真心不错，尺码标准，做工也是上档次的，甩同价位的好几条街,1,0,30,0,1,0,-1,0,0,0,1,148,1,0.99988094,0
电源很好,1,0,4,0,1,0,-1,0,0,0,0,7,1,0.488831364,0
用起来效果不错，方便快捷，价格便宜实惠，值得购买,1,0,24,0,0,0,-1,0,0,0,0,422,1,0.997346795,0
非常好用，充电速度非常快，线也够粗，是正品,1,0,21,0,0,0,-1,0,0,0,0,704,1,0.946878351,0
发货更快质量也OK烫一下就更完美了。,1,0,18,0,1,0,-1,0,0,0,1,77,1,0.436433187,0
原装正品，充电速度快，不伤机，而且发货速度快,1,0,22,0,0,0,-1,0,0,0,0,919,1,0.989902932,0
超级可爱哒！！非常喜欢,1,0,11,2,0,0,-1,0,0,0,1,842,0,0.619431482,0
快充用起来非常方便，充电速度也很快，整体效果都很满意,1,0,26,0,0,0,-1,0,0,0,0,526,1,0.99585351,0
收到了，特别轻薄，质量好，很暖和。,1,0,17,0,0,0,-1,0,0,0,1,369,1,0.976021224,0
广汽aionv完美解决充电问题，插上即充，电流15+，很满意。,1,0,31,0,1,1,-1,0,0,0,0,83,0,0.293175805,0
单穿扎人,1,0,4,0,0,0,-1,0,0,0,1,249,1,0.48576306,0
收到就用上了，还挺不错的，很满意的一次购物。,1,0,22,0,0,0,-1,0,0,0,0,118,1,0.988878229,0
收到货马上试试，很好,1,0,10,0,1,0,-1,0,0,0,0,66,1,0.729252558,0
充电很不错，挺方便的，放上去就充电，戴壳也没问题，三个一起就不用拉很多线,1,0,36,0,1,1,-1,0,0,0,0,765,0,0.800257797,0
衣服很喜欢,1,0,5,0,0,0,-1,0,0,0,1,102,0,0.829320184,0
非常好，已经回购多次，十分划算,1,0,15,0,1,0,-1,0,0,0,3,153,1,0.663075892,0
挺好的，就是二十六寸看着和我们买的24寸大小一样，皮箱是软皮，承重还可以,1,1,36,0,1,0,-1,0,0,1,6,248,1,0.709474966,0
版型超级好，超级好看,1,0,10,0,0,0,-1,0,0,0,1,896,1,0.667124027,0
上身效果：还不错,1,0,8,0,0,0,-1,0,0,0,1,599,0,0.96888728,0
正品充电也很快大约不到一小时五十多度电,1,0,19,0,1,0,-1,0,0,0,0,14,1,0.879313081,0
线够长，价格也实惠,1,0,9,0,0,0,-1,0,0,0,0,539,1,0.906130197,0
喝了几包口感不错，偏甜。,1,0,12,0,0,0,-1,0,0,0,3,166,1,0.939929738,0
用起来了，质量不错,1,0,9,0,0,0,-1,0,0,0,0,296,1,0.847402216,0
买大了，不过还是很好看,1,0,11,0,0,0,-1,0,0,0,1,96,1,0.841317797,0
无线充电器即放即充，很好用，非常美观。而且最大的方便之处，就是同时可以充电三样设备，再也不必找线烦恼了。,1,0,52,0,0,1,-1,0,0,0,0,826,0,0.942777805,0
快递挺快的，收到，吃着挺甜的,1,0,14,0,0,0,-1,0,0,0,3,12,1,0.878076449,0
已经用了一段时间，商家很讲信用，值得信赖的。以后有需要还会光顾的。,1,0,18,1,0,0,46,0,0,0,0,57,1,0.92389964,0
价格实惠做工不错主要是真的太好看了喜欢得不得了,1,0,23,0,1,0,-1,0,0,0,6,226,1,0.997632891,0
充电站可以投币扫码充电很实用，充电速度很快，满意,1,0,24,0,0,0,-1,0,0,0,0,174,1,0.947348979,0
很好的手包，大小正好，出门带的东西很方便,1,0,20,0,1,0,-1,0,0,0,6,499,1,0.942145185,0
款式大方，穿上有型，做工讲究，很满意,1,0,18,0,0,0,-1,0,0,0,1,93,1,0.999162277,0
整体评价：???,1,0,8,3,0,0,-1,0,0,0,1,376,1,0.642348219,0
物流很快，一套下来价格比实体店实惠多了！很满意,1,0,23,1,0,0,-1,0,0,0,0,250,1,0.99623164,0
包装很一般,0,0,5,0,0,0,-1,0,1,0,3,11,1,0.613135172,0
收到了，质量好，很满意,1,0,11,0,0,0,-1,0,0,0,0,847,1,0.786338251,0
男士羽绒服好穿，上身效果好，很休身，喜欢。,1,0,21,0,0,0,-1,0,0,1,1,189,1,0.980460501,0
给亲戚拍的，来电话说很好用。,1,0,14,0,0,0,-1,0,0,0,0,203,1,0.243177493,0
收到了。线很合适，长度够,1,0,12,0,0,0,-1,0,0,0,0,358,0,0.949433046,0
东西收到了，质量挺好的。,1,0,12,0,0,0,-1,0,0,0,0,305,1,0.701834737,0
戒糖挺久的，突然吃这个被甜齁了,1,0,15,0,0,0,-1,0,0,0,3,471,1,0.475549209,0
好吃！可爱！,1,0,6,2,0,0,-1,0,0,0,3,38,1,0.836522568,0
衣服质量不错，手感不错，穿着很合身。值得推荐。,1,0,23,0,0,0,-1,0,0,1,1,894,1,0.999308767,0
就充了一次电就怎么也充不上了！这样太次了吧！,1,0,18,1,0,0,52,0,0,1,0,385,1,0.403983166,0
多次购买了，一如既往的好吃，还送的叉，好评！,1,0,22,1,1,0,-1,0,0,0,3,365,1,0.88321355,0
私人充电站安全又便捷使用方法也简单，很不错,1,0,21,0,0,0,-1,0,0,0,0,99,1,0.997865769,0
习惯好评....,1,0,8,0,0,0,-1,1,0,0,1,368,0,0.183079807,0
一收到就实测，可以同時充，再測試幾天看看，听说有很多多合一充电都不行，一放三个都充，正常。,1,0,45,0,1,0,-1,0,0,0,0,554,0,0.142863959,0
不错，春秋天穿刚好，冬天里面套毛衣也很好看！面料就是那个小西服的面料，很顺滑,1,0,38,1,1,0,0,0,0,0,1,287,1,0.995882574,0
非常上档次，好评,1,0,8,0,0,0,-1,0,0,0,1,186,1,0.824776643,0
物流速度真的是没话说，就是一个字：快。商品从外包装来看非常高档，真是一分钱一分货，贵有贵的道理,1,0,47,0,1,1,0,0,0,1,6,447,1,0.495037112,0
收到货了，质量非常好，很满意。,1,0,15,0,0,0,-1,0,0,0,0,390,1,0.640666791,0
好看，显瘦，很喜欢，合身,1,0,12,0,0,0,-1,0,0,0,1,52,1,0.996478487,0
真的非常的满意服务态度也好，非常的不错。感觉棒棒哒！,1,0,26,1,0,0,-1,0,0,0,0,578,0,0.882897386,0
正品，原装的充电就是快啊！,1,0,13,1,0,0,-1,0,0,0,0,341,1,0.732540548,0
充电器收到了，物流非常快，包装也很精致，充电很稳定，反应很迅速，不错。接口也很紧，装上电池之后很紧实，沒有松动的情况，用了好长时间，沒有任何问题，充电的时候不会发热发烫，电流也是很稳定，沒有出现接触不良的情况，非常好，质量不错，方便携带，这个性价比非常高超划算,1,0,130,0,1,0,-1,0,0,0,0,37,1,0.999093693,0
充电桩很方便，安装在小区楼下，又给了一笔收入,1,0,22,0,0,0,-1,0,0,0,0,127,0,0.89737556,0
超好喜欢再回购,1,0,7,0,0,0,-1,0,0,0,3,452,1,0.449275359,0
穿起来很舒服的料子，比较喜欢这种的,1,0,17,0,0,0,-1,0,0,0,1,502,0,0.869751631,0
刚用一个月就坏了，无语,1,0,18,1,0,0,15,0,0,0,0,194,1,0.017386372,0
很厚实，很保暖，穿着挺舒服的,1,0,14,0,0,0,-1,0,0,0,1,385,0,0.994322346,0
东西挺好物流也快,1,0,8,0,0,0,-1,0,0,0,0,57,1,0.918873096,0
版型不错，质量也OK,1,0,10,0,1,0,-1,0,0,0,1,285,1,0.630628532,0
好看好看,1,0,4,0,1,0,-1,0,0,0,1,22,1,0.845255147,0
很好哦建议大家购买,1,0,9,0,1,0,-1,0,0,0,6,16,1,0.755756536,0
这款不错省了我很多条数据线,1,1,13,0,1,0,-1,0,0,0,0,73,1,0.986246689,0
数量不够，感觉很好,0,0,9,0,0,0,-1,0,0,0,3,60,1,0.513185093,0
有点小插曲，总体都比较好,1,0,12,0,1,1,-1,0,0,0,6,231,1,0.91413514,0
买来背去上课用的没想到还挺百搭的哦很满意,1,0,20,0,1,0,-1,0,0,0,6,399,1,0.998056831,0
炒鸡奈斯！！姐妹们快冲外面有一层防灰模看起来超级高级滚轮也很降音,1,0,32,2,1,1,5,0,1,0,6,269,1,0.226574105,0
满意，小度终于又复活了,1,0,11,0,0,0,27,0,0,0,0,132,0,0.820604286,0
做工不错，挺重的一台充电器，外观漂亮，充电方便快捷，,1,0,26,0,1,0,0,0,0,0,0,611,0,0.998381863,0
美衣收到，与图上拍的一模一样，尺码标准，衣服做工细致，面料有垂感，厚实且里衬有精美包边，质量刚刚滴??????穿上很舒服。卖家发货速度超快，物流超快，一百个赞！,1,0,80,7,1,0,-1,0,0,1,1,509,1,0.999997999,0
衣服材质真的不错,1,0,8,0,0,0,-1,0,0,0,1,41,1,0.928802716,0
物流给力，款式好看还很保暖，不跑绒，质量OK，客服服务态度好,1,0,30,0,0,0,-1,0,0,0,1,138,1,0.353116149,0
衣服很好，穿着舒服，款式也不错??,1,0,17,2,0,0,-1,0,0,0,1,20,1,0.990562921,0
自从安装了这个后，充电方便多了，在也不用老是推到家里充电了，充电又方便又快捷,1,0,38,0,0,0,-1,0,0,0,0,150,1,0.018412492,0
这款充电器特别好，做工精致，在淘宝看了好多家才买的，真没让我失望，谢谢卖家的热情服务。以前在拼多多上买了一个，充了一次电就坏了。看样子好的买品牌的东西，质量有保障，包装严密，快递给力，好评。,1,1,95,0,0,0,-1,0,0,0,0,872,0,0.975762193,0
充电快，好看，确实挺不错的,1,0,13,0,1,1,-1,0,0,0,0,377,0,0.985478278,0
不错的衣服，穿着很轻松,1,0,11,0,0,0,-1,0,0,0,1,141,1,0.988789975,0
好看！版型超好！料子也比较厚实现在穿正正好！,1,0,22,3,0,0,-1,0,0,1,1,966,0,0.946472672,0
包包很好呢，和闺蜜一人一个，特别喜欢,1,0,18,0,1,0,-1,0,0,0,6,129,1,0.979018194,0
衣服款式很漂亮，不过质量就一般了，穿了两次就发现很多地方都起球了,1,0,18,1,0,0,24,0,0,0,1,309,1,0.890947373,0
质量很好，和描述的一样，好用,1,0,14,0,0,0,-1,0,0,0,0,120,1,0.901720482,0
一分价钱一分货，不是精品,0,0,12,0,0,0,-1,0,0,0,3,153,1,0.366668462,0
多次复购，特别喜欢,1,0,9,0,0,0,-1,0,0,0,1,204,1,0.840349001,0
书包收到，非常漂亮时尚，做工精致！,1,0,17,1,1,0,-1,0,0,0,6,301,0,0.999735099,0
客服态度超好之前用坏了还特意给重新发一个棒棒哒,1,0,23,0,0,0,-1,0,0,0,0,634,0,0.166441538,0
衣服不错，款式好看，整体都不错,1,0,15,0,0,0,-1,0,0,0,1,144,1,0.996449725,0
过甜吧，对我来说,0,1,8,0,0,0,-1,0,0,0,3,255,1,0.874113932,0
非常喜欢，这么多咖啡可以选择,1,0,14,0,1,0,-1,0,0,0,3,102,1,0.760928313,0
大大大大,1,0,18,1,1,0,59,0,1,0,6,3,1,0.526232782,0
无线充真的很方便，手机戴壳也可以充，放上去就可以自动感应充电了，东西质感很好,1,0,38,0,1,1,-1,0,0,1,0,76,0,0.957473886,0
买了?忘记评论,1,0,18,1,1,0,31,0,0,0,6,32,1,0.511073302,0
很方便！质感很高！,1,0,9,2,0,0,-1,0,0,0,0,505,0,0.95979632,0
客服态度很好,1,0,6,0,0,0,-1,0,0,0,1,202,1,0.159594428,0
回购的，已推荐给朋友,1,0,10,0,0,0,-1,0,0,0,3,198,1,0.6557525,0
很好，很好用，是正品，物流快！,1,0,15,1,0,0,-1,0,0,0,0,185,1,0.992972036,0
不锈钢材质质量非常不错，结实耐用，设备齐全，服务热情周到。好评,1,0,31,0,0,0,-1,0,0,0,0,416,1,0.998232431,0
灯的颜色有挺多的，没具体数，操作也简单，雾也很细，高度状态好的时候有个10厘米吧，有时候达不到，一直用着，出口会有水珠。中评在于声音是真的大，水滴的声音，咕噜咕噜，晚上睡觉隔三米也能很清晰的听到，靠近听也能听到机器运作的声音，我是用在办公室的就不退了，对于声音有要求的慎重。,0,1,137,0,1,0,24,0,0,0,0,494,1,0.605677311,0
很好，很好用,1,0,6,0,0,0,-1,0,0,0,0,214,1,0.918395974,0
衣服质量真心不错，上身效果简单大方，还显身材，值得推荐,1,0,27,0,0,0,-1,0,1,0,1,75,1,0.999995616,0
???超好看特显腿细,1,0,10,3,0,0,-1,0,0,0,1,146,1,0.915759015,0
布料还行，不差，挺不错的,1,0,12,0,0,0,-1,0,0,0,1,368,1,0.717213004,0
等用后来追评。,1,0,7,0,0,0,-1,0,0,0,0,313,0,0.606379238,0
货真价实，冲电瓶速度快，好用,1,0,14,0,1,0,-1,0,0,1,0,143,1,0.681254564,0
品质做工：精致很到位快递也很快款式设计：设计很好面料材质：软硬适中尺寸大小：合适,1,0,40,0,1,1,-1,0,0,0,6,18,1,0.999950051,0
包装完整顺丰速运,1,0,8,0,0,0,-1,0,0,0,0,338,1,0.684320336,0
挺好，要是包包小一点点更好看,1,0,14,0,1,0,-1,0,0,0,6,73,0,0.927383796,0
箱子很好结实耐用我一百五座上面一点问题都没有快递很快发货及时小哥敬业给好评便宜又好看,1,1,42,0,1,0,-1,0,1,0,6,48,1,0.950730094,0
咖啡真的挺多的，可以试很多不同的味道。30多买二十包，不算便宜，有的咖啡味道也很一般，看了看，基本都是一块左右的咖啡。主要还是尝个鲜，毕竟一次可以试很多不同牌子,1,0,80,0,0,0,-1,0,0,0,3,836,1,0.870630001,0
虽然快递真的超级无敌慢但是咖啡不错包装也很好,1,0,22,0,0,0,-1,0,0,0,3,296,1,0.931691776,0
质量不错面料很舒服,1,0,9,0,0,0,-1,0,1,0,1,61,1,0.950021774,0
东西收到了，很不错。,1,0,10,0,0,0,-1,0,0,0,0,227,1,0.862470372,0
质量很好,1,0,4,0,0,0,0,0,0,0,1,236,1,0.759849616,0
虽然百世物流有点坑，但是店家客服很nice，感谢！咖啡40包真的很多，感觉挺好，明天开始试喝了，期待！最后，再次强调，客服很好呦！,1,0,65,3,0,0,-1,0,0,1,3,173,1,0.014109948,0
东西很好，物美价廉，非常的满意,1,0,15,0,0,0,-1,0,0,0,0,149,0,0.962105376,0
充电器收到了，充电很快。,1,0,12,0,0,0,-1,0,0,0,0,385,1,0.904945256,0
好安装很好使用充电很快,1,0,11,0,0,0,-1,0,0,0,0,366,1,0.922837859,0
非常好用，不愧是戴森。,1,0,11,0,0,0,-1,0,1,0,0,733,0,0.987218331,0
收到啦，巧克力还是一如既往的好吃，朋友也觉得很不错,1,0,25,0,0,0,-1,0,0,0,3,537,1,0.993205188,0
昨天下单今天收货，棒棒哒，质量很好??????,1,0,23,6,0,0,-1,0,0,0,0,502,1,0.151297019,0
手包收到了，很满意，做工及质量很好，大小合适，物流很快。,1,0,28,0,1,0,-1,0,0,0,6,11,1,0.998548177,0
挺好看的也很百搭性價比超級高各位冲吧,1,0,18,0,1,0,-1,0,0,0,6,647,0,0.969305961,0
第一次用就出现这个问题，推拉杆时候很容易回缩，要买的朋友一定要考虑清楚。卡出去之后再退一回儿，手把直接脱落，售后并没有写的那样180天质量问题包退换。,1,0,18,1,1,1,25,0,1,0,6,218,1,0.012752951,0
包装完整没有损坏，安装很详细能看懂，很好用，使用方便，赞,1,0,28,0,0,0,-1,0,0,0,0,181,1,0.97992464,0
不错，质量很好，款式简约又百搭，很喜欢呢，穿着很好看。,1,0,27,0,0,0,-1,0,0,0,1,155,1,0.999673167,0
充电器质量很好，是正品，充电快，不发热。,1,0,20,0,0,0,-1,0,0,0,0,530,1,0.972254698,0
